Year,Age Range,Epidemiological Week,Fever and Respiratory Symptoms
2011,5 and younger,1,805
2011,5 and younger,2,777
2011,5 and younger,3,826
2011,5 and younger,4,969
2011,5 and younger,5,1121
2011,5 and younger,6,1178
2011,5 and younger,7,1205
2011,5 and younger,8,1298
2011,5 and younger,9,1250
2011,5 and younger,10,1092
2011,5 and younger,11,1082
2011,5 and younger,12,828
2011,5 and younger,13,862
2011,5 and younger,14,744
2011,5 and younger,15,679
2011,5 and younger,16,719
2011,5 and younger,17,595
2011,5 and younger,18,567
2011,5 and younger,19,568
2011,5 and younger,20,622
2011,5 and younger,21,450
2011,5 and younger,22,415
2011,5 and younger,23,454
2011,5 and younger,24,536
2011,5 and younger,25,504
2011,5 and younger,26,545
2011,5 and younger,27,452
2011,5 and younger,28,469
2011,5 and younger,29,382
2011,5 and younger,30,380
2011,5 and younger,31,348
2011,5 and younger,32,346
2011,5 and younger,33,390
2011,5 and younger,34,366
2011,5 and younger,35,361
2011,5 and younger,36,409
2011,5 and younger,37,669
2011,5 and younger,38,866
2011,5 and younger,39,856
2011,5 and younger,40,907
2011,5 and younger,41,854
2011,5 and younger,42,617
2011,5 and younger,43,631
2011,5 and younger,44,605
2011,5 and younger,45,686
2011,5 and younger,46,657
2011,5 and younger,47,604
2011,5 and younger,48,577
2011,5 and younger,49,586
2011,5 and younger,50,555
2011,5 and younger,51,545
2011,5 and younger,52,431
2012,5 and younger,1,404
2012,5 and younger,2,472
2012,5 and younger,3,553
2012,5 and younger,4,593
2012,5 and younger,5,780
2012,5 and younger,6,744
2012,5 and younger,7,754
2012,5 and younger,8,732
2012,5 and younger,9,759
2012,5 and younger,10,613
2012,5 and younger,11,695
2012,5 and younger,12,666
2012,5 and younger,13,685
2012,5 and younger,14,651
2012,5 and younger,15,529
2012,5 and younger,16,527
2012,5 and younger,17,557
2012,5 and younger,18,568
2012,5 and younger,19,723
2012,5 and younger,20,784
2012,5 and younger,21,730
2012,5 and younger,22,622
2012,5 and younger,23,630
2012,5 and younger,24,642
2012,5 and younger,25,631
2012,5 and younger,26,604
2012,5 and younger,27,527
2012,5 and younger,28,622
2012,5 and younger,29,599
2012,5 and younger,30,477
2012,5 and younger,31,423
2012,5 and younger,32,377
2012,5 and younger,33,432
2012,5 and younger,34,354
2012,5 and younger,35,396
2012,5 and younger,36,515
2012,5 and younger,37,661
2012,5 and younger,38,906
2012,5 and younger,39,1160
2012,5 and younger,40,1283
2012,5 and younger,41,1435
2012,5 and younger,42,1489
2012,5 and younger,43,983
2012,5 and younger,44,1149
2012,5 and younger,45,1029
2012,5 and younger,46,971
2012,5 and younger,47,975
2012,5 and younger,48,893
2012,5 and younger,49,808
2012,5 and younger,50,893
2012,5 and younger,51,719
2012,5 and younger,52,500
2013,5 and younger,1,490
2013,5 and younger,2,499
2013,5 and younger,3,547
2013,5 and younger,4,644
2013,5 and younger,5,741
2013,5 and younger,6,917
2013,5 and younger,7,809
2013,5 and younger,8,802
2013,5 and younger,9,708
2013,5 and younger,10,745
2013,5 and younger,11,721
2013,5 and younger,12,830
2013,5 and younger,13,626
2013,5 and younger,14,437
2013,5 and younger,15,517
2013,5 and younger,16,452
2013,5 and younger,17,522
2013,5 and younger,18,546
2013,5 and younger,19,581
2013,5 and younger,20,618
2013,5 and younger,21,480
2013,5 and younger,22,507
2013,5 and younger,23,533
2013,5 and younger,24,497
2013,5 and younger,25,554
2013,5 and younger,26,504
2013,5 and younger,27,512
2013,5 and younger,28,411
2013,5 and younger,29,342
2013,5 and younger,30,288
2013,5 and younger,31,257
2013,5 and younger,32,237
2013,5 and younger,33,235
2013,5 and younger,34,225
2013,5 and younger,35,269
2013,5 and younger,36,265
2013,5 and younger,37,430
2013,5 and younger,38,547
2013,5 and younger,39,783
2013,5 and younger,40,843
2013,5 and younger,41,1022
2013,5 and younger,42,1082
2013,5 and younger,43,1012
2013,5 and younger,44,1026
2013,5 and younger,45,1103
2013,5 and younger,46,1129
2013,5 and younger,47,1163
2013,5 and younger,48,876
2013,5 and younger,49,880
2013,5 and younger,50,734
2015,5 and younger,1,360
2015,5 and younger,2,504
2015,5 and younger,3,535
2015,5 and younger,4,595
2015,5 and younger,5,680
2015,5 and younger,6,572
2015,5 and younger,7,625
2015,5 and younger,8,541
2015,5 and younger,9,508
2015,5 and younger,10,479
2015,5 and younger,11,446
2015,5 and younger,12,481
2015,5 and younger,13,363
2015,5 and younger,14,397
2015,5 and younger,15,389
2015,5 and younger,16,322
2015,5 and younger,17,273
2015,5 and younger,18,384
2015,5 and younger,19,377
2015,5 and younger,20,316
2015,5 and younger,21,324
2015,5 and younger,22,384
2015,5 and younger,23,335
2015,5 and younger,24,382
2015,5 and younger,25,354
2015,5 and younger,26,285
2015,5 and younger,27,247
2015,5 and younger,28,228
2015,5 and younger,29,188
2015,5 and younger,30,157
2015,5 and younger,31,178
2015,5 and younger,32,169
2015,5 and younger,33,171
2015,5 and younger,34,155
2015,5 and younger,35,176
2015,5 and younger,36,200
2015,5 and younger,37,254
2015,5 and younger,38,336
2015,5 and younger,39,419
2015,5 and younger,40,495
2015,5 and younger,41,487
2015,5 and younger,42,547
2015,5 and younger,43,537
2015,5 and younger,44,612
2015,5 and younger,45,689
2015,5 and younger,46,712
2015,5 and younger,47,648
2015,5 and younger,48,625
2015,5 and younger,49,603
2015,5 and younger,50,561
2015,5 and younger,51,444
2015,5 and younger,52,464
2008,5-59,1,431
2008,5-59,2,433
2008,5-59,3,679
2008,5-59,4,631
2008,5-59,5,585
2008,5-59,6,469
2008,5-59,7,504
2008,5-59,8,476
2008,5-59,9,466
2008,5-59,10,486
2008,5-59,11,564
2008,5-59,12,390
2008,5-59,13,431
2008,5-59,14,430
2008,5-59,15,444
2008,5-59,16,621
2008,5-59,17,556
2008,5-59,18,560
2008,5-59,19,649
2008,5-59,20,655
2008,5-59,21,489
2008,5-59,22,454
2008,5-59,23,496
2008,5-59,24,460
2008,5-59,25,580
2008,5-59,26,535
2008,5-59,27,416
2008,5-59,28,434
2008,5-59,29,312
2008,5-59,30,297
2008,5-59,31,234
2008,5-59,32,258
2008,5-59,33,208
2008,5-59,34,311
2008,5-59,35,198
2008,5-59,36,265
2008,5-59,37,326
2008,5-59,38,302
2008,5-59,39,448
2008,5-59,40,448
2008,5-59,41,463
2008,5-59,42,365
2008,5-59,43,303
2008,5-59,44,343
2008,5-59,45,409
2008,5-59,46,422
2008,5-59,47,421
2008,5-59,48,321
2008,5-59,49,389
2008,5-59,50,433
2008,5-59,51,355
2008,5-59,52,265
2009,5-59,1,452
2009,5-59,2,533
2009,5-59,3,448
2009,5-59,4,521
2009,5-59,5,530
2009,5-59,6,553
2009,5-59,7,503
2009,5-59,8,502
2009,5-59,9,557
2009,5-59,10,558
2009,5-59,11,569
2009,5-59,12,481
2009,5-59,13,468
2009,5-59,14,357
2009,5-59,15,384
2009,5-59,16,410
2009,5-59,17,528
2009,5-59,18,746
2009,5-59,19,620
2009,5-59,20,553
2009,5-59,21,585
2009,5-59,22,1018
2009,5-59,23,1456
2009,5-59,24,2249
2009,5-59,25,2896
2009,5-59,26,2803
2009,5-59,27,2196
2009,5-59,28,1046
2009,5-59,29,765
2009,5-59,30,550
2009,5-59,31,419
2009,5-59,32,474
2009,5-59,33,467
2009,5-59,34,417
2009,5-59,35,402
2009,5-59,36,653
2009,5-59,37,712
2009,5-59,38,693
2009,5-59,39,875
2009,5-59,40,1095
2009,5-59,41,1731
2009,5-59,42,1717
2009,5-59,43,1904
2009,5-59,44,1705
2009,5-59,45,1459
2009,5-59,46,1401
2009,5-59,47,990
2009,5-59,48,862
2009,5-59,49,406
2009,5-59,50,660
2009,5-59,51,426
2009,5-59,52,612
2010,5-59,1,709
2010,5-59,2,687
2010,5-59,3,762
2010,5-59,4,740
2010,5-59,5,734
2010,5-59,6,745
2010,5-59,7,658
2010,5-59,8,737
2010,5-59,9,763
2010,5-59,10,776
2010,5-59,11,801
2010,5-59,12,794
2010,5-59,13,612
2010,5-59,14,669
2010,5-59,15,706
2010,5-59,16,622
2010,5-59,17,599
2010,5-59,18,587
2010,5-59,19,667
2010,5-59,20,544
2010,5-59,21,447
2010,5-59,22,532
2010,5-59,23,571
2010,5-59,24,581
2010,5-59,25,544
2010,5-59,26,478
2010,5-59,27,489
2010,5-59,28,499
2010,5-59,29,406
2010,5-59,30,425
2010,5-59,31,432
2010,5-59,32,669
2010,5-59,33,859
2010,5-59,34,936
2010,5-59,35,1185
2010,5-59,36,1443
2010,5-59,37,1816
2010,5-59,38,1775
2010,5-59,39,765
2010,5-59,40,828
2010,5-59,41,846
2010,5-59,42,720
2010,5-59,43,820
2010,5-59,44,797
2010,5-59,45,792
2010,5-59,46,850
2010,5-59,47,743
2010,5-59,48,704
2010,5-59,49,697
2010,5-59,50,769
2010,5-59,51,692
2010,5-59,52,722
2011,5-59,1,850
2011,5-59,2,996
2011,5-59,3,1001
2011,5-59,4,1214
2011,5-59,5,1333
2011,5-59,6,1545
2011,5-59,7,1502
2011,5-59,8,1640
2011,5-59,9,1527
2011,5-59,10,1192
2011,5-59,11,1145
2011,5-59,12,946
2011,5-59,13,853
2011,5-59,14,758
2011,5-59,15,720
2011,5-59,16,684
2011,5-59,17,566
2011,5-59,18,581
2011,5-59,19,621
2011,5-59,20,589
2011,5-59,21,502
2011,5-59,22,499
2011,5-59,23,497
2011,5-59,24,527
2011,5-59,25,541
2011,5-59,26,459
2011,5-59,27,484
2011,5-59,28,480
2011,5-59,29,419
2011,5-59,30,330
2011,5-59,31,332
2011,5-59,32,358
2011,5-59,33,418
2011,5-59,34,392
2011,5-59,35,353
2011,5-59,36,355
2011,5-59,37,455
2011,5-59,38,633
2011,5-59,39,717
2011,5-59,40,812
2011,5-59,41,644
2011,5-59,42,603
2011,5-59,43,648
2011,5-59,44,668
2011,5-59,45,720
2011,5-59,46,648
2011,5-59,47,589
2011,5-59,48,597
2011,5-59,49,569
2011,5-59,50,523
2011,5-59,51,506
2011,5-59,52,433
2012,5-59,1,513
2012,5-59,2,593
2012,5-59,3,625
2012,5-59,4,688
2012,5-59,5,835
2012,5-59,6,790
2012,5-59,7,790
2012,5-59,8,675
2012,5-59,9,627
2012,5-59,10,598
2012,5-59,11,666
2012,5-59,12,583
2012,5-59,13,591
2012,5-59,14,568
2012,5-59,15,586
2012,5-59,16,578
2012,5-59,17,537
2012,5-59,18,594
2012,5-59,19,767
2012,5-59,20,734
2012,5-59,21,665
2012,5-59,22,645
2012,5-59,23,674
2012,5-59,24,651
2012,5-59,25,586
2012,5-59,26,627
2012,5-59,27,541
2012,5-59,28,580
2012,5-59,29,537
2012,5-59,30,439
2012,5-59,31,402
2012,5-59,32,383
2012,5-59,33,494
2012,5-59,34,458
2012,5-59,35,461
2012,5-59,36,585
2012,5-59,37,671
2012,5-59,38,910
2012,5-59,39,1202
2012,5-59,40,1351
2012,5-59,41,1620
2012,5-59,42,1654
2012,5-59,43,1122
2012,5-59,44,1237
2012,5-59,45,1139
2012,5-59,46,1186
2012,5-59,47,1182
2012,5-59,48,1084
2012,5-59,49,847
2012,5-59,50,817
2012,5-59,51,720
2012,5-59,52,570
2013,5-59,1,552
2013,5-59,2,582
2013,5-59,3,612
2013,5-59,4,696
2013,5-59,5,744
2013,5-59,6,774
2013,5-59,7,617
2013,5-59,8,594
2013,5-59,9,632
2013,5-59,10,654
2013,5-59,11,646
2013,5-59,12,632
2013,5-59,13,537
2013,5-59,14,346
2013,5-59,15,432
2013,5-59,16,429
2013,5-59,17,449
2013,5-59,18,535
2013,5-59,19,506
2013,5-59,20,491
2013,5-59,21,444
2013,5-59,22,460
2013,5-59,23,505
2013,5-59,24,430
2013,5-59,25,452
2013,5-59,26,503
2013,5-59,27,419
2013,5-59,28,364
2013,5-59,29,338
2013,5-59,30,283
2013,5-59,31,221
2013,5-59,32,215
2013,5-59,33,373
2013,5-59,34,297
2013,5-59,35,256
2013,5-59,36,304
2013,5-59,37,402
2013,5-59,38,522
2013,5-59,39,687
2013,5-59,40,769
2013,5-59,41,839
2013,5-59,42,923
2013,5-59,43,637
2013,5-59,44,745
2013,5-59,45,835
2013,5-59,46,845
2013,5-59,47,777
2013,5-59,48,701
2013,5-59,49,634
2013,5-59,50,598
2015,5-59,1,477
2015,5-59,2,578
2015,5-59,3,552
2015,5-59,4,701
2015,5-59,5,724
2015,5-59,6,679
2015,5-59,7,588
2015,5-59,8,567
2015,5-59,9,511
2015,5-59,10,479
2015,5-59,11,469
2015,5-59,12,493
2015,5-59,13,397
2015,5-59,14,330
2015,5-59,15,393
2015,5-59,16,387
2015,5-59,17,391
2015,5-59,18,365
2015,5-59,19,431
2015,5-59,20,341
2015,5-59,21,311
2015,5-59,22,335
2015,5-59,23,375
2015,5-59,24,390
2015,5-59,25,356
2015,5-59,26,271
2015,5-59,27,236
2015,5-59,28,299
2015,5-59,29,225
2015,5-59,30,243
2015,5-59,31,219
2015,5-59,32,194
2015,5-59,33,194
2015,5-59,34,230
2015,5-59,35,243
2015,5-59,36,297
2015,5-59,37,312
2015,5-59,38,399
2015,5-59,39,419
2015,5-59,40,428
2015,5-59,41,394
2015,5-59,42,387
2015,5-59,43,393
2015,5-59,44,460
2015,5-59,45,491
2015,5-59,46,556
2015,5-59,47,474
2015,5-59,48,467
2015,5-59,49,413
2015,5-59,50,456
2015,5-59,51,338
2015,5-59,52,469
2008,60 and older,1,39
2008,60 and older,2,46
2008,60 and older,3,79
2008,60 and older,4,66
2008,60 and older,5,69
2008,60 and older,6,56
2008,60 and older,7,64
2008,60 and older,8,58
2008,60 and older,9,51
2008,60 and older,10,73
2008,60 and older,11,68
2008,60 and older,12,43
2008,60 and older,13,43
2008,60 and older,14,50
2008,60 and older,15,58
2008,60 and older,16,33
2008,60 and older,17,48
2008,60 and older,18,62
2008,60 and older,19,60
2008,60 and older,20,115
2008,60 and older,21,45
2008,60 and older,22,56
2008,60 and older,23,50
2008,60 and older,24,30
2008,60 and older,25,57
2008,60 and older,26,67
2008,60 and older,27,42
2008,60 and older,28,45
2008,60 and older,29,42
2008,60 and older,30,40
2008,60 and older,31,26
2008,60 and older,32,26
2008,60 and older,33,24
2008,60 and older,34,25
2008,60 and older,35,18
2008,60 and older,36,36
2008,60 and older,37,40
2008,60 and older,38,34
2008,60 and older,39,48
2008,60 and older,40,41
2008,60 and older,41,57
2008,60 and older,42,58
2008,60 and older,43,44
2008,60 and older,44,28
2008,60 and older,45,51
2008,60 and older,46,41
2008,60 and older,47,63
2008,60 and older,48,37
2008,60 and older,49,30
2008,60 and older,50,53
2008,60 and older,51,35
2008,60 and older,52,30
2009,60 and older,1,58
2009,60 and older,2,75
2009,60 and older,3,54
2009,60 and older,4,55
2009,60 and older,5,45
2009,60 and older,6,78
2009,60 and older,7,51
2009,60 and older,8,69
2009,60 and older,9,41
2009,60 and older,10,89
2009,60 and older,11,54
2009,60 and older,12,54
2009,60 and older,13,53
2009,60 and older,14,47
2009,60 and older,15,35
2009,60 and older,16,57
2009,60 and older,17,64
2009,60 and older,18,73
2009,60 and older,19,60
2009,60 and older,20,39
2009,60 and older,21,37
2009,60 and older,22,58
2009,60 and older,23,79
2009,60 and older,24,87
2009,60 and older,25,83
2009,60 and older,26,142
2009,60 and older,27,103
2009,60 and older,28,90
2009,60 and older,29,50
2009,60 and older,30,48
2009,60 and older,31,31
2009,60 and older,32,47
2009,60 and older,33,40
2009,60 and older,34,38
2009,60 and older,35,43
2009,60 and older,36,43
2009,60 and older,37,73
2009,60 and older,38,55
2009,60 and older,39,68
2009,60 and older,40,55
2009,60 and older,41,81
2009,60 and older,42,76
2009,60 and older,43,109
2009,60 and older,44,86
2009,60 and older,45,84
2009,60 and older,46,79
2009,60 and older,47,99
2009,60 and older,48,116
2009,60 and older,49,91
2009,60 and older,50,68
2009,60 and older,51,46
2009,60 and older,52,72
2010,60 and older,1,69
2010,60 and older,2,77
2010,60 and older,3,89
2010,60 and older,4,96
2010,60 and older,5,69
2010,60 and older,6,87
2010,60 and older,7,89
2010,60 and older,8,94
2010,60 and older,9,81
2010,60 and older,10,125
2010,60 and older,11,91
2010,60 and older,12,78
2010,60 and older,13,43
2010,60 and older,14,82
2010,60 and older,15,88
2010,60 and older,16,90
2010,60 and older,17,74
2010,60 and older,18,77
2010,60 and older,19,69
2010,60 and older,20,88
2010,60 and older,21,69
2010,60 and older,22,55
2010,60 and older,23,85
2010,60 and older,24,56
2010,60 and older,25,57
2010,60 and older,26,81
2010,60 and older,27,60
2010,60 and older,28,79
2010,60 and older,29,57
2010,60 and older,30,65
2010,60 and older,31,74
2010,60 and older,32,83
2010,60 and older,33,105
2010,60 and older,34,103
2010,60 and older,35,125
2010,60 and older,36,165
2010,60 and older,37,170
2010,60 and older,38,180
2010,60 and older,39,76
2010,60 and older,40,100
2010,60 and older,41,123
2010,60 and older,42,96
2010,60 and older,43,110
2010,60 and older,44,81
2010,60 and older,45,79
2010,60 and older,46,83
2010,60 and older,47,55
2010,60 and older,48,72
2010,60 and older,49,59
2010,60 and older,50,62
2010,60 and older,51,74
2010,60 and older,52,106
2011,60 and older,1,113
2011,60 and older,2,93
2011,60 and older,3,94
2011,60 and older,4,85
2011,60 and older,5,102
2011,60 and older,6,104
2011,60 and older,7,90
2011,60 and older,8,107
2011,60 and older,9,102
2011,60 and older,10,69
2011,60 and older,11,103
2011,60 and older,12,74
2011,60 and older,13,78
2011,60 and older,14,72
2011,60 and older,15,55
2011,60 and older,16,62
2011,60 and older,17,87
2011,60 and older,18,81
2011,60 and older,19,58
2011,60 and older,20,70
2011,60 and older,21,67
2011,60 and older,22,53
2011,60 and older,23,55
2011,60 and older,24,42
2011,60 and older,25,65
2011,60 and older,26,56
2011,60 and older,27,83
2011,60 and older,28,61
2011,60 and older,29,58
2011,60 and older,30,60
2011,60 and older,31,52
2011,60 and older,32,75
2011,60 and older,33,47
2011,60 and older,34,45
2011,60 and older,35,48
2011,60 and older,36,39
2011,60 and older,37,52
2011,60 and older,38,47
2011,60 and older,39,61
2011,60 and older,40,66
2011,60 and older,41,64
2011,60 and older,42,87
2011,60 and older,43,63
2011,60 and older,44,40
2011,60 and older,45,88
2011,60 and older,46,51
2011,60 and older,47,67
2011,60 and older,48,95
2011,60 and older,49,58
2011,60 and older,50,66
2011,60 and older,51,70
2011,60 and older,52,93
2012,60 and older,1,77
2012,60 and older,2,100
2012,60 and older,3,85
2012,60 and older,4,82
2012,60 and older,5,81
2012,60 and older,6,82
2012,60 and older,7,67
2012,60 and older,8,89
2012,60 and older,9,65
2012,60 and older,10,61
2012,60 and older,11,68
2012,60 and older,12,37
2012,60 and older,13,70
2012,60 and older,14,69
2012,60 and older,15,57
2012,60 and older,16,68
2012,60 and older,17,57
2012,60 and older,18,61
2012,60 and older,19,68
2012,60 and older,20,113
2012,60 and older,21,65
2012,60 and older,22,78
2012,60 and older,23,78
2012,60 and older,24,68
2012,60 and older,25,77
2012,60 and older,26,52
2012,60 and older,27,58
2012,60 and older,28,69
2012,60 and older,29,52
2012,60 and older,30,47
2012,60 and older,31,43
2012,60 and older,32,47
2012,60 and older,33,79
2012,60 and older,34,58
2012,60 and older,35,71
2012,60 and older,36,58
2012,60 and older,37,45
2012,60 and older,38,62
2012,60 and older,39,71
2012,60 and older,40,66
2012,60 and older,41,77
2012,60 and older,42,103
2012,60 and older,43,53
2012,60 and older,44,100
2012,60 and older,45,78
2012,60 and older,46,88
2012,60 and older,47,58
2012,60 and older,48,79
2012,60 and older,49,96
2012,60 and older,50,96
2012,60 and older,51,73
2012,60 and older,52,88
2013,60 and older,1,71
2013,60 and older,2,83
2013,60 and older,3,81
2013,60 and older,4,80
2013,60 and older,5,53
2013,60 and older,6,79
2013,60 and older,7,74
2013,60 and older,8,59
2013,60 and older,9,64
2013,60 and older,10,57
2013,60 and older,11,72
2013,60 and older,12,56
2013,60 and older,13,55
2013,60 and older,14,61
2013,60 and older,15,60
2013,60 and older,16,62
2013,60 and older,17,48
2013,60 and older,18,61
2013,60 and older,19,49
2013,60 and older,20,44
2013,60 and older,21,47
2013,60 and older,22,65
2013,60 and older,23,64
2013,60 and older,24,69
2013,60 and older,25,49
2013,60 and older,26,55
2013,60 and older,27,47
2013,60 and older,28,40
2013,60 and older,29,37
2013,60 and older,30,43
2013,60 and older,31,32
2013,60 and older,32,34
2013,60 and older,33,43
2013,60 and older,34,43
2013,60 and older,35,38
2013,60 and older,36,44
2013,60 and older,37,39
2013,60 and older,38,49
2013,60 and older,39,91
2013,60 and older,40,62
2013,60 and older,41,73
2013,60 and older,42,90
2013,60 and older,43,75
2013,60 and older,44,81
2013,60 and older,45,70
2013,60 and older,46,117
2013,60 and older,47,88
2013,60 and older,48,87
2013,60 and older,49,85
2013,60 and older,50,71
2015,60 and older,1,99
2015,60 and older,2,100
2015,60 and older,3,74
2015,60 and older,4,97
2015,60 and older,5,92
2015,60 and older,6,83
2015,60 and older,7,101
2015,60 and older,8,79
2015,60 and older,9,66
2015,60 and older,10,83
2015,60 and older,11,54
2015,60 and older,12,65
2015,60 and older,13,61
2015,60 and older,14,67
2015,60 and older,15,78
2015,60 and older,16,58
2015,60 and older,17,52
2015,60 and older,18,59
2015,60 and older,19,41
2015,60 and older,20,56
2015,60 and older,21,40
2015,60 and older,22,43
2015,60 and older,23,50
2015,60 and older,24,48
2015,60 and older,25,60
2015,60 and older,26,58
2015,60 and older,27,56
2015,60 and older,28,46
2015,60 and older,29,41
2015,60 and older,30,37
2015,60 and older,31,48
2015,60 and older,32,48
2015,60 and older,33,52
2015,60 and older,34,53
2015,60 and older,35,57
2015,60 and older,36,50
2015,60 and older,37,67
2015,60 and older,38,50
2015,60 and older,39,35
2015,60 and older,40,45
2015,60 and older,41,48
2015,60 and older,42,46
2015,60 and older,43,37
2015,60 and older,44,46
2015,60 and older,45,60
2015,60 and older,46,63
2015,60 and older,47,53
2015,60 and older,48,65
2015,60 and older,49,69
2015,60 and older,50,58
2015,60 and older,51,69
2015,60 and older,52,57
2016,5 and younger,1,387
2016,5 and younger,2,473
2016,5 and younger,3,597
2016,5 and younger,4,673
2016,5 and younger,5,804
2016,5 and younger,6,786
2016,5 and younger,7,709
2016,5 and younger,8,794
2016,5 and younger,9,767
2016,5 and younger,10,771
2016,5 and younger,11,680
2016,5-59,1,530
2016,5-59,2,564
2016,5-59,3,669
2016,5-59,4,747
2016,5-59,5,973
2016,5-59,6,806
2016,5-59,7,869
2016,5-59,8,839
2016,5-59,9,909
2016,5-59,10,1034
2016,5-59,11,899
2016,60 and older,1,82
2016,60 and older,2,94
2016,60 and older,3,98
2016,60 and older,4,59
2016,60 and older,5,122
2016,60 and older,6,74
2016,60 and older,7,85
2016,60 and older,8,96
2016,60 and older,9,99
2016,60 and older,10,119
2016,60 and older,11,109
